area_type,availability,size,society,total_sqft,bath,balcony,price,site_location
Super built-up  Area,17-Jun,3 BHK,Prarkun,1644,3,2,92.59,Uppal
Super built-up  Area,18-Feb,4 BHK,BrlisCo,3410,5,3,253,Uppal
Built-up  Area,Ready To Move,3 BHK,Maity W,1100,2,1,78,Uppal
Super built-up  Area,Ready To Move,4 BHK,Toindls,6000,6,,700,Uppal
Plot  Area,Ready To Move,6 Bedroom,,2400,7,2,107,Uppal
Super built-up  Area,Ready To Move,4 BHK,Soeurri,3730,6,2,430,Uppal
Built-up  Area,Ready To Move,3 BHK,Soitya ,1698,3,2,125,Uppal
Super built-up  Area,18-Jul,3 BHK,SunceEs,1185,2,2,30.22,Uppal
Built-up  Area,Ready To Move,2 BHK,,1080,2,1,67,Uppal
Super built-up  Area,Ready To Move,2 BHK,,1041,2,1,36.44,Uppal
Super built-up  Area,18-Jun,3 BHK,Dieldli,1724,3,1,146,Uppal
Super built-up  Area,18-Mar,2 BHK,,1185,2,2,59,Uppal
Plot  Area,Ready To Move,5 Bedroom,,1200,4,1,99,Uppal
Plot  Area,Ready To Move,5 Bedroom,,1200,6,2,110,Uppal
Super built-up  Area,Ready To Move,3 BHK,,1353,2,2,110,Uppal
Built-up  Area,Ready To Move,5 BHK,,24Sq. Meter,5,0,75,Uppal
Super built-up  Area,Ready To Move,3 BHK,OriewLa,1830,3,3,91.86,Uppal
Super built-up  Area,Ready To Move,2 BHK,SLaceda,1100,2,1,36,Uppal
Super built-up  Area,22-Jun,3 BHK,GoAirej,1660,3,2,125,Uppal
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1206,2,1,40.7,Uppal
Built-up  Area,18-Dec,2 BHK,Sryalan,1065,2,1,30.76,Uppal
Built-up  Area,Ready To Move,2 BHK,ReudePr,1300,2,2,55.86,Uppal
Super built-up  Area,Ready To Move,2 BHK,Goner C,1047,2,1,75,Uppal
Plot  Area,Ready To Move,4 Bedroom,,2400,4,1,228,Uppal
Super built-up  Area,Ready To Move,2 BHK,,1198,2,2,80,Uppal
Super built-up  Area,18-Dec,1 BHK,Goted U,613,1,1,48,Uppal
Built-up  Area,Ready To Move,3 BHK,Baanise,1527,3,1,142,Uppal
Plot  Area,Ready To Move,3 Bedroom,,4395,3,2,240,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,50,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,BriumMi,1270,2,2,93,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Vancy R,1800,3,0,150,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,SoystAm,1750,3,2,100,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,Shdhia ,1135,2,1,39.73,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Chnts A,1820,2,3,86,Banjara Hills
Super built-up  Area,18-Feb,3 BHK,Prcesvy,1688,3,1,118,Banjara Hills
Built-up  Area,Ready To Move,3 BHK,Disical,1375,3,2,75,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,,1590,2,1,54,Banjara Hills
Carpet  Area,Ready To Move,1 BHK,,15,1,0,30,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Prrtht ,1082,2,1,56,Banjara Hills
Plot  Area,Ready To Move,5 Bedroom,,2900,5,2,90,Banjara Hills
Super built-up  Area,18-Jun,2 BHK,MCnexva,1100,2,1,47,Banjara Hills
Built-up  Area,Ready To Move,3 BHK,,1595,3,2,76,Banjara Hills
Super built-up  Area,18-Apr,2 BHK,,1200,2,2,75,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,,1464,3,2,56,Banjara Hills
Built-up  Area,Ready To Move,1 BHK,Raiyai ,595,1,1,42,Banjara Hills
Plot  Area,Ready To Move,4 Bedroom,,2800,4,2,240,Banjara Hills
Plot  Area,Ready To Move,4 Bedroom,,1200,4,,130,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,Soikaa ,1117,2,3,29.99,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,,1350,2,2,62,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Lancy R,1530,3,3,61.2,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,,1100,2,2,44,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Mauner ,1408,3,3,62,Banjara Hills
Plot  Area,Ready To Move,2 Bedroom,,1200,2,0,67,Banjara Hills
Built-up  Area,Ready To Move,1 RK,,351,1,1,16,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,Akave E,1200,2,2,49.5,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,Trurea ,1145,2,2,75,Banjara Hills
Built-up  Area,Ready To Move,2 BHK,Vaanda ,1140,2,1,75.2,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,SLtias ,1005,2,1,39.59,Banjara Hills
Plot  Area,Ready To Move,2 Bedroom,,792,2,1,70,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,,1350,2,2,140,Banjara Hills
Built-up  Area,Ready To Move,3 BHK,MJinele,1300,3,2,60,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,ChionCo,1586,3,3,93.94,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,SMuilan,1130,2,1,36,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,,1255,2,1,58,Banjara Hills
Super built-up  Area,Ready To Move,4 BHK,Prtanha,3122,5,2,225,Banjara Hills
Built-up  Area,Ready To Move,3 BHK,SNbay G,1790,3,3,100,Banjara Hills
Plot  Area,Ready To Move,5 Bedroom,,1200,5,3,120,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,,1022,2,1,45.9,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,PrncyRe,800,2,2,30,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,,1738,2,3,79,Banjara Hills
Plot  Area,Ready To Move,4 Bedroom,Vastael,1500,4,3,200,Banjara Hills
Super built-up  Area,18-Dec,2 BHK,Shestut,1300,2,1,109,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,JRrnauv,1482,3,3,60.98,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Ste 2al,1734,3,3,125,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1120,2,2,37.95,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Ahriaup,1525,2,2,87,Banjara Hills
Super built-up  Area,18-Aug,2 BHK,,1450,2,3,62.63,Banjara Hills
Built-up  Area,Ready To Move,1 BHK,PaownNe,580,1,1,27,Banjara Hills
Built-up  Area,Ready To Move,3 Bedroom,,540,3,1,60,Banjara Hills
Plot  Area,Ready To Move,3 Bedroom,,1500,2,0,65,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Prrtht ,1082,2,1,45,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,SaireSa,1832,3,1,125,Banjara Hills
Built-up  Area,Ready To Move,3 BHK,ViionMa,1452,3,3,60,Banjara Hills
Super built-up  Area,19-Dec,3 BHK,Magiaya,1255,3,2,77.68,Banjara Hills
Super built-up  Area,18-Dec,3 BHK,Magiaya,1255,3,2,77.68,Banjara Hills
Super built-up  Area,18-May,3 BHK,,1200,2,0,66.5,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,Diensso,1235,2,3,65,Banjara Hills
Built-up  Area,Ready To Move,2 Bedroom,,1050,2,1,162,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,,1340,3,2,54.24,Banjara Hills
Super built-up  Area,20-Dec,4 BHK,KonteiT,2435,4,3,119,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1267,2,1,54.35,Banjara Hills
Super built-up  Area,18-Aug,4 BHK,Soianal,3260,5,3,388,Banjara Hills
Built-up  Area,Ready To Move,3 BHK,,1667,3,2,92,Banjara Hills
Built-up  Area,Ready To Move,3 BHK,,1765,3,3,80,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Paurt C,1355,2,2,65,Banjara Hills
Super built-up  Area,18-Oct,2 BHK,,1145,2,2,58.4,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,,1075,2,2,36,Banjara Hills
Built-up  Area,Ready To Move,4 Bedroom,,4000,4,2,1100,Banjara Hills
Built-up  Area,18-Jul,2 BHK,,1090,2,1,31.48,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Soubya ,1459,2,1,95,Banjara Hills
Super built-up  Area,18-Nov,2 BHK,Vaharvi,1200,2,1,46,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Sondaka,1364,2,2,56,Banjara Hills
Super built-up  Area,18-Sep,1 BHK,SunceEs,645,1,1,16.45,Banjara Hills
Built-up  Area,Ready To Move,3 BHK,BKideor,1650,3,3,105,Banjara Hills
Super built-up  Area,18-Aug,3 BHK,Sryalan,1310,2,2,37.83,Banjara Hills
Super built-up  Area,19-Jan,3 BHK,SuVue S,1225,3,1,33.08,Banjara Hills
Super built-up  Area,18-Feb,2 BHK,HioraTr,1085,2,1,45,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,Trows M,1310,2,2,85,Banjara Hills
Plot  Area,Ready To Move,4 Bedroom,,1200,4,2,225,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,BrlisCo,1850,3,2,150,Banjara Hills
Built-up  Area,Ready To Move,3 BHK,Prityel,873,2,1,40,Banjara Hills
Built-up  Area,Ready To Move,3 BHK,Sutesga,1600,2,2,88,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,PuineSu,1435,3,2,90,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Neony H,1601,3,2,95,Banjara Hills
Carpet  Area,Ready To Move,4 Bedroom,,2000,4,2,95,Banjara Hills
Super built-up  Area,18-Apr,2 BHK,AsastDe,984,2,1,45.91,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,,1428,2,1,70,Banjara Hills
Super built-up  Area,18-Dec,2 BHK,Prtates,1216,2,1,75,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Shyas S,1324,3,2,65,Banjara Hills
Built-up  Area,18-Apr,4 Bedroom,LGifeew,2429,3,1,210,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,RInceeg,1243,2,2,46,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,ReudePr,1664,3,2,69.89,Banjara Hills
Super built-up  Area,19-Jan,4 BHK,,6500,4,3,1400,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Pu270a ,1836,3,2,148,Banjara Hills
Built-up  Area,Ready To Move,2 BHK,,1100,2,2,42,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,,1475,2,3,59,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,CaestSr,1520,2,2,60,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,Prncyrn,1174,2,1,78,Banjara Hills
Super built-up  Area,18-May,2 BHK,Sryalan,1200,2,1,34.65,Banjara Hills
Super built-up  Area,20-Sep,1 BHK,Ranuetz,783 - 943,1,0,40.55,Banjara Hills
Super built-up  Area,Ready To Move,1 BHK,Palleon,635,1,0,28,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,Smrryny,1100,2,2,57.6,Banjara Hills
Super built-up  Area,20-Sep,3 BHK,Goted U,2140,3,2,139,Banjara Hills
Built-up  Area,Ready To Move,3 Bedroom,,3000,3,2,450,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,SoystAm,1777.26,3,2,89,Banjara Hills
Plot  Area,Ready To Move,4 Bedroom,,7500,6,2,1800,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,,2095,3,2,150,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,URncysi,1160,2,1,95,Banjara Hills
Plot  Area,Ready To Move,4 Bedroom,,600,5,1,105,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,,1819,3,1,150,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,EAvarum,1179,2,2,56,Banjara Hills
Super built-up  Area,18-Mar,2 BHK,,1245,2,1,59,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Heate L,1700,3,1,71,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,,777.4,2,0,25,Banjara Hills
Built-up  Area,Ready To Move,2 BHK,NRosete,1145,2,2,46,Banjara Hills
Super built-up  Area,18-May,4 BHK,SNbay G,2150 - 2225,4,0,105,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,DLhtsan,918,2,2,56,Banjara Hills
Built-up  Area,Ready To Move,2 BHK,,1220,2,2,72,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,,1128,2,2,48.4,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,,1020,2,2,40.79,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,,1140,2,1,78,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,,1400,2,2,135,Banjara Hills
Super built-up  Area,20-Dec,3 BHK,PrarePa,1100,2,1,53,Banjara Hills
Plot  Area,18-Feb,2 Bedroom,,1200,2,1,68,Banjara Hills
Built-up  Area,Ready To Move,7 BHK,,2040,4,3,123,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Soionar,1715,3,3,115,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1965,4,2,125,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,MenueNo,1430,2,3,56,Banjara Hills
Built-up  Area,Ready To Move,1 BHK,,575,1,1,16.75,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,SoechHa,1850,4,2,121,Banjara Hills
Built-up  Area,Ready To Move,4 Bedroom,,2400,4,1,150,Banjara Hills
Super built-up  Area,18-Apr,3 BHK,Sabixtt,1466,3,3,59.96,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,,1195,2,2,59,Banjara Hills
Plot  Area,Ready To Move,3 Bedroom,Upldsin,1200,3,2,65,Banjara Hills
Plot  Area,Ready To Move,4 Bedroom,,1200,5,,325,Banjara Hills
Super built-up  Area,Ready To Move,3 BHK,IBityin,1675,3,,92.13,Banjara Hills
Super built-up  Area,Ready To Move,2 BHK,Laavevi,845,2,1,55,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,Soitya ,1735,3,3,135,Somajiguda
Super built-up  Area,18-Jun,2 BHK,,900,2,2,22.5,Somajiguda
Plot  Area,18-Dec,3 Bedroom,PrhyaK ,11,3,2,74,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,Prlla C,1404,2,1,71,Somajiguda
Built-up  Area,20-Dec,3 BHK,,1768,3,2,101,Somajiguda
Built-up  Area,Ready To Move,3 BHK,,1440,2,3,65,Somajiguda
Built-up  Area,Ready To Move,2 BHK,Soestrn,1020,2,1,52,Somajiguda
Super built-up  Area,21-Oct,1 BHK,PrarePa,525,1,1,30,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,,2400,2,0,80,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1175,2,2,48.27,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,,1637,3,3,73,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1170,2,1,51.99,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,Keers S,1606,3,3,89.55,Somajiguda
Super built-up  Area,19-Dec,4 BHK,Priesla,3073,5,2,696,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1197,2,2,50,Somajiguda
Super built-up  Area,Ready To Move,4 BHK,Prersis,2483,5,2,215,Somajiguda
Plot  Area,Ready To Move,3 Bedroom,Prana S,1200,3,1,125,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,Hiestre,1180,2,2,72,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,PuendWe,1508,2,1,110,Somajiguda
Built-up  Area,Ready To Move,3 BHK,Suncy R,1685,2,1,110,Somajiguda
Plot  Area,Ready To Move,3 Bedroom,,1350,3,3,195,Somajiguda
Super built-up  Area,17-Oct,3 BHK,,1708,2,1,90.5,Somajiguda
Plot  Area,Ready To Move,4 Bedroom,,4800,3,3,302,Somajiguda
Plot  Area,Ready To Move,4 Bedroom,,2400,4,1,240,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,Chara N,1300,2,3,65,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,Sagnage,1279,2,2,48,Somajiguda
Plot  Area,Ready To Move,4 Bedroom,,450,3,1,53,Somajiguda
Plot  Area,Ready To Move,3 Bedroom,,950,3,1,80,Somajiguda
Plot  Area,Ready To Move,1 Bedroom,,1500,1,0,37.5,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,BrlisCo,1320,2,1,95,Somajiguda
Super built-up  Area,Ready To Move,5 BHK,,2000,4,1,103,Somajiguda
Super built-up  Area,17-Dec,4 BHK,Cehosy ,3960,5,3,386,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,Unm 2El,1115,2,1,33.45,Somajiguda
Built-up  Area,Ready To Move,2 BHK,,1100,2,1,60,Somajiguda
Built-up  Area,Ready To Move,2 BHK,,1085,2,2,43,Somajiguda
Super built-up  Area,Ready To Move,4 BHK,,3436,6,3,475,Somajiguda
Super built-up  Area,19-Aug,2 BHK,,1033,2,2,28.41,Somajiguda
Super built-up  Area,Ready To Move,1 BHK,,550,1,1,17,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,PhestOn,1718,3,2,288,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,SNity S,1275,2,2,65,Somajiguda
Plot  Area,Ready To Move,4 Bedroom,,4750,2,1,120,Somajiguda
Super built-up  Area,18-May,3 BHK,,1250,3,2,55,Somajiguda
Carpet  Area,20-Dec,1 BHK,Roiti A,381 - 535,1,0,19.695,Somajiguda
Built-up  Area,Ready To Move,2 BHK,Goateds,1300,2,2,102,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,SBoneuc,1405,2,2,84.5,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1280,2,1,60,Somajiguda
Super built-up  Area,21-Dec,1 BHK,GoAirej,706,1,1,48.24,Somajiguda
Built-up  Area,Ready To Move,2 BHK,DiaveEn,1000,2,2,48,Somajiguda
Super built-up  Area,Ready To Move,1 BHK,PuonsSe,705,1,1,57,Somajiguda
Super built-up  Area,18-May,2 BHK,Emhtsl ,1197,2,1,63,Somajiguda
Super built-up  Area,18-Sep,3 BHK,Shxorm ,1590,3,2,96.5,Somajiguda
Super built-up  Area,18-Dec,2 BHK,Koagati,1036,2,1,59.45,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1096,2,1,41,Somajiguda
Super built-up  Area,18-Apr,2 BHK,Arcia S,1088,2,2,61.45,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,Veale R,1355,2,3,78,Somajiguda
Super built-up  Area,20-Dec,3 BHK,ArndsSk,1482,3,2,86,Somajiguda
Plot  Area,Ready To Move,6 Bedroom,,840,8,0,120,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1200,2,2,37,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,NianaBr,1291,2,3,32,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,Ahntyve,1030,2,2,46.5,Somajiguda
Super built-up  Area,Ready To Move,4 BHK,Klark L,4260 - 4408,,,338,Somajiguda
Super built-up  Area,18-Aug,3 BHK,DNionfl,1920,3,2,150,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1155,2,2,55,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1180,2,2,56,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,Bhmesy ,934,2,2,55,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,OriewLa,1281,2,2,87,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1272,2,2,51.5,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,,1862,3,3,120,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,,1900,2,2,190,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,Vaaldak,1713,3,3,125,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,YCnce R,1110,2,1,39.95,Somajiguda
Super built-up  Area,21-Mar,3 BHK,Goues A,1711,3,3,85.61,Somajiguda
Super built-up  Area,Ready To Move,1 BHK,,400,2,1,25,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,,1750,3,3,75,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,Siissi ,922,2,1,36,Somajiguda
Super built-up  Area,18-Jun,2 BHK,,1235,2,2,148,Somajiguda
Plot  Area,Ready To Move,4 Bedroom,,1800,4,1,300,Somajiguda
Built-up  Area,Ready To Move,1 BHK,MYncysi,646,1,0,25.84,Somajiguda
Super built-up  Area,Ready To Move,4 BHK,Soeurri,3754,6,2,480,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,Saageat,1590,2,2,126,Somajiguda
Built-up  Area,Ready To Move,4 Bedroom,,3000,3,3,170,Somajiguda
Built-up  Area,Ready To Move,4 Bedroom,,2800,4,1,200,Somajiguda
Plot  Area,Ready To Move,7 Bedroom,,3000,6,3,145,Somajiguda
Plot  Area,Ready To Move,5 Bedroom,,1200,5,,160,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,VDarmlo,4097,3,,400,Somajiguda
Super built-up  Area,18-Mar,2 BHK,,952,2,1,42,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,Amconi ,1395,2,2,70,Somajiguda
Built-up  Area,Ready To Move,2 BHK,GrrvaGr,1140,2,2,38.65,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,SwionMa,1130,2,,74,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,EsadeNS,1075,2,1,57,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,Somumys,1786,2,2,106,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,Rainet ,1260,2,1,49,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,765,2,1,37.49,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,,1360,2,2,47.59,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,IBityin,1165,2,2,64.08,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,SVstos ,1160,2,2,75,Somajiguda
Super built-up  Area,Ready To Move,1 BHK,,1000,1,0,14,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,AuRISa ,1175,2,2,35,Somajiguda
Super built-up  Area,18-Jul,3 BHK,Rosha I,1610,3,1,74.03,Somajiguda
Super built-up  Area,18-Dec,3 BHK,Prllsan,1587,3,1,73.8,Somajiguda
Super built-up  Area,Ready To Move,4 BHK,SNity S,2185,3,3,120,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1170,2,3,50,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,Arria G,1015,2,1,45,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,PrBayGa,2159,3,2,120,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,GoandAc,1500,3,1,100,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,DLhtsen,939,2,2,39,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,GrrvaGr,1303,2,2,55.78,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,AmiewLa,1255,2,1,56.7,Somajiguda
Super built-up  Area,Ready To Move,1 BHK,KHatsFl,284,1,1,8,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,Prityel,1075,2,1,31,Somajiguda
Plot  Area,Ready To Move,4 Bedroom,,2916,5,1,230,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,NCaveun,1205,2,1,85,Somajiguda
Super built-up  Area,Ready To Move,5 BHK,PhestOn,3600,5,,510,Somajiguda
Built-up  Area,19-Dec,4 Bedroom,Ciris P,1880,4,0,154,Somajiguda
Plot  Area,Ready To Move,6 Bedroom,,1200,5,0,150,Somajiguda
Super built-up  Area,Ready To Move,4 BHK,,2500,3,1,65,Somajiguda
Super built-up  Area,18-Aug,2 BHK,ProdsWe,1260,2,2,113,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1060,2,1,58.5,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,,1330,2,2,68,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,Dhalsh ,1200,2,2,44.4,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,Kelmsoy,1685,3,1,90,Somajiguda
Plot  Area,Ready To Move,4 Bedroom,,1200,4,3,375,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,SoechHa,1950,4,2,120,Somajiguda
Plot  Area,Ready To Move,4 Bedroom,Vahid O,2400,3,0,200,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,,1305,3,1,65,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,,1250,2,1,70,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,Aklia R,1590,3,2,57,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,MancyEl,970,2,1,35,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1021,2,2,45.9,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,DSreerk,1470,2,1,75,Somajiguda
Super built-up  Area,Ready To Move,3 BHK,K ncy R,1600,3,1,170,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,SraveHi,1097,2,1,49,Somajiguda
Super built-up  Area,19-Jul,2 BHK,Soazak ,1332,2,1,108,Somajiguda
Super built-up  Area,18-Dec,3 BHK,Klark L,1691,3,2,100,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,DSnjh S,1022,2,1,35,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,VRaceer,1200,2,2,45,Somajiguda
Carpet  Area,Ready To Move,3 BHK,Vemit S,1470,2,1,85,Somajiguda
Super built-up  Area,Ready To Move,2 BHK,,1050,2,2,52.71,Somajiguda
Plot  Area,Ready To Move,4 Bedroom,Chranya,5700,5,3,650,Kondapur 
Super built-up  Area,Ready To Move,3 BHK,G conTh,2050,3,1,145,Kondapur 
Built-up  Area,Ready To Move,2 Bedroom,,1280,2,1,69,Kondapur 
Built-up  Area,Ready To Move,2 BHK,Miwel M,1100,2,1,43.25,Kondapur 
Super built-up  Area,Ready To Move,3 BHK,SMaxyay,1715,2,2,95,Kondapur 
Built-up  Area,Ready To Move,3 BHK,Foconna,1325,2,1,90,Kondapur 
Super built-up  Area,Ready To Move,6 BHK,,3600,4,1,160,Kondapur 
Super built-up  Area,Ready To Move,2 BHK,Coa 3t ,1185,2,2,47,Kondapur 
Built-up  Area,20-Dec,2 BHK,,1447,2,1,83,Kondapur 
Super built-up  Area,Ready To Move,3 BHK,Asorai ,1554,3,2,55,Kondapur 
Super built-up  Area,Ready To Move,2 BHK,,1100,2,1,56,Kondapur 
Super built-up  Area,Ready To Move,3 BHK,Puestol,1665,3,2,86.58,Kondapur 
Plot  Area,Ready To Move,3 Bedroom,,1200,3,3,200,Kondapur 
Built-up  Area,Ready To Move,3 BHK,,1650,3,2,88,Kondapur 
Built-up  Area,Ready To Move,2 BHK,,755,2,1,37.49,Kondapur 
Built-up  Area,Ready To Move,2 BHK,Paarklu,1200,2,2,66,Kondapur 
Plot  Area,Ready To Move,4 Bedroom,,1550,4,2,130,Kondapur 
Super built-up  Area,18-Dec,4 BHK,Pehtsa ,4000 - 5249,4,0,314.5,Kondapur 
Super built-up  Area,Ready To Move,3 BHK,Prtates,1697,3,2,108,Kondapur 
Built-up  Area,Ready To Move,7 BHK,,600,7,3,106,Kondapur 
Super built-up  Area,Ready To Move,2 BHK,AnncyRe,740,2,1,37,Kondapur 
Built-up  Area,Ready To Move,2 BHK,Kenia G,1185,2,2,65,Kondapur 
Super built-up  Area,Ready To Move,2 BHK,Saeina ,975,2,1,43,Kondapur 
Super built-up  Area,Ready To Move,3 BHK,,1435,3,3,70,Kondapur 
